Nome;Nível;Início;Término;Instituição;Situação;Motivo do interrrompimento;LINK;ID
Leonardo Bornacki de Mattos;PQ-2;01/03/21;29/02/24;UFV;Suspenso;(***) Bolsa interrompida por motivo de estágio ou pós-doutoramento no exterior, ou por nomeação para cargo em comissão do grupo de Direção e Assessoramento Superior (DAS) do CNPq.;http://lattes.cnpq.br/5792108556365679;5792108556365679
Leonardo Costa Ribeiro;PQ-2;01/03/22;28/02/25;UFMG;Em folha de pagamento;;http://lattes.cnpq.br/9084292828513038;9084292828513038
Leonardo Monteiro Monasterio;PQ-2;01/03/21;29/02/24;IDP;Em folha de pagamento;;http://lattes.cnpq.br/5320812023944256;5320812023944256
Lucas Jóver Maestri;PQ-2;01/03/21;29/02/24;FGV;Em folha de pagamento;;http://lattes.cnpq.br/8115820958390261;8115820958390261
Luciano Ferreira Gabriel;PQ-2;01/03/22;28/02/25;UFJF;Suspenso;(***) Bolsa interrompida por motivo de estágio ou pós-doutoramento no exterior, ou por nomeação para cargo em comissão do grupo de Direção e Assessoramento Superior (DAS) do CNPq.;http://lattes.cnpq.br/9951218971437024;9951218971437024
Luciano Irineu de Castro Filho;PQ-2;01/03/21;29/02/24;IMPA;Em folha de pagamento;;http://lattes.cnpq.br/7373548082841415;7373548082841415
Luciano Menezes Bezerra Sampaio;PQ-2;01/03/22;28/02/25;UFRN;Em folha de pagamento;;http://lattes.cnpq.br/3807603064705018;3807603064705018
Luís Eduardo Afonso;PQ-2;01/03/23;28/02/26;FEAC/USP;Em folha de pagamento;;http://lattes.cnpq.br/2011747617639123;2011747617639123
Luiz Carlos de Santana Ribeiro;PQ-2;01/03/21;29/02/24;UFS;Em folha de pagamento;;http://lattes.cnpq.br/6813148558566741;6813148558566741
Luiz Fernando Rodrigues de Paula;PQ-1D;01/03/23;28/02/27;UFRJ;Em folha de pagamento;;http://lattes.cnpq.br/3378141737377054;3378141737377054
Luiz Ivan de Melo Castelar;PQ-2;01/03/22;28/02/25;UFC;Em folha de pagamento;;http://lattes.cnpq.br/8710490356999657;8710490356999657
Luiz Koodi Hotta;PQ-2;01/03/21;29/02/24;UNICAMP;Em folha de pagamento;;http://lattes.cnpq.br/5895675198951295;5895675198951295
