issn,revista,qualis
19805772,ACTA GEOGRAFICA,A2
21774307,ACTA GEOGRAFICA,A2
18956572,ACTA GEOPHYSICA,B1
18611125,ACTA GEOTECHNICA,A2
00015792,ACTA HAEMATOLOGICA,B2
18279635,ACTA HERPETOLOGICA,A4
00651281,ACTA HISTOCHEMICA,A4
24066168,ACTA HORTICULTURAE,B4
01371592,ACTA ICHTHYOLOGICA ET PISCATORIA,B2
23164093,ACTA IGUAZU,B4
2221870X,ACTA IMEKO,B2
2179975X,ACTA LIMNOLOGICA BRASILIENSIA,B1
01026712,ACTA LIMNOLOGICA BRASILIENSIA,B1
13596454,ACTA MATERIALIA,A1
00015962,ACTA MATHEMATICA,A1
00015970,ACTA MECHANICA,A2
01035037,ACTA MEDICA,C
16460758,ACTA MEDICA PORTUGUESA,A4
00016268,ACTA NEUROCHIRURGICA,A3
03009009,ACTA NEUROLOGICA BELGICA,B2
16015215,ACTA NEUROPSYCHIATRICA,A3
00016349,ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,A3
15023850,ACTA ODONTOLOGICA SCANDINAVICA,A2
00016357,ACTA ODONTOLOGICA SCANDINAVICA,A2
00016365,ACTA ODONTOLOGICA VENEZOLANA,B4
1146609X,ACTA OECOLOGICA,A3
1509409X,ACTA OF BIOENGINEERING AND BIOMECHANICS,B1
1755375X,ACTA OPHTHALMOLOGICA,A2
00016454,ACTA ORNITHOLOGICA,A4
14137852,ACTA ORTOPEDICA BRASILEIRA,B3
18094406,ACTA ORTOPEDICA BRASILEIRA,B3
00016489,ACTA OTOLARYNGOLOGICA,A4
00016519,ACTA OTORRINOLARINGOLOGICA ESPANOLA,B2
08035253,ACTA PAEDIATRICA,A2
05677920,ACTA PALAEONTOLOGICA POLONICA,A2
12302821,ACTA PARASITOLOGICA,B3
01032100,ACTA PAULISTA DE ENFERMAGEM,A3
13300075,ACTA PHARMACEUTICA,A4
05874246,ACTA PHYSICA POLONICA A,B1
05874254,ACTA PHYSICA POLONICA B,B1
18992358,ACTA PHYSICA POLONICA B PROCEEDINGS SUPPLEMENT,NP
01375881,ACTA PHYSIOLOGIAE PLANTARUM,A3
17481716,ACTA PHYSIOLOGICA,A1
17481708,ACTA PHYSIOLOGICA,A1
0231424X,ACTA PHYSIOLOGICA HUNGARICA,B4
01853082,ACTA POETICA,A4
12102709,ACTA POLYTECHNICA,B1
00651583,ACTA PROTOZOOLOGICA,A3
00016896,ACTA PSIQUIATRICA Y PSICOLOGICA DE AMERICA LATINA,A2
0001690X,ACTA PSYCHIATRICA SCANDINAVICA,A2
00016918,ACTA PSYCHOLOGICA,A3
02841851,ACTA RADIOLOGICA,A4
23178957,ACTA SCIENTIAE ET TECHNICAE,B3
16799216,ACTA SCIENTIAE VETERINARIAE,B1
16780345,ACTA SCIENTIAE VETERINARIAE,B1
14156814,ACTA SCIENTIARUM,C
16799275,ACTA SCIENTIARUM AGRONOMY,A4
18078621,ACTA SCIENTIARUM AGRONOMY,A4
18062636,ACTA SCIENTIARUM ANIMAL SCIENCES,B2
18078672,ACTA SCIENTIARUM ANIMAL SCIENCES,B2
1807863X,ACTA SCIENTIARUM BIOLOGICAL SCIENCES,B1
16799283,ACTA SCIENTIARUM BIOLOGICAL SCIENCES,B1
21785201,ACTA SCIENTIARUM EDUCATION,A2
21785198,ACTA SCIENTIARUM EDUCATION,A2
16799291,ACTA SCIENTIARUM HEALTH SCIENCES,B2
18078648,ACTA SCIENTIARUM HEALTH SCIENCES,B2
16797361,ACTA SCIENTIARUM HUMAN AND SOCIAL SCIENCES,B4
18078656,ACTA SCIENTIARUM HUMAN AND SOCIAL SCIENCES,B4
19834675,ACTA SCIENTIARUM LANGUAGE AND CULTURE,B1
19834683,ACTA SCIENTIARUM LANGUAGE AND CULTURE,B1
18062563,ACTA SCIENTIARUM TECHNOLOGY,B2
18078664,ACTA SCIENTIARUM TECHNOLOGY,B2
01024264,ACTA SEMIOTICA ET LINGUISTICA,B3
1982422X,ACTA TECNOLOGICA,B3
03279286,ACTA TOXICOLOGICA ARGENTINA,A4
0001706X,ACTA TROPICA,A1
23366052,ACTA UNIVERSITATIS CAROLINAE KINANTHROPOLOGICA,C
19815484,ACTA VETERINARIA BRASILICA,B2
17510147,ACTA VETERINARIA SCANDINAVICA,A2
0001723X,ACTA VIROLOGICA,B3
00017272,ACTA ZOOLOGICA,A4
00651729,ACTA ZOOLOGICA LILLOANA,C
00651737,ACTA ZOOLOGICA MEXICANA,B4
14636395,ACTA ZOOLOGICA ONLINE,A4
23578068,ACTAPESCA,C
18502032,ACTAS DE DISENO,B3
03355322,ACTES DE LA RECHERCHE EN SCIENCES SOCIALES,A1
1678488X,ACTIO,C
25258923,ACTIO DOCENCIA EM CIENCIAS,A3
25197355,ACTUALIDAD BRICS BOLETIN DE RELACIONES INTERNACIONALES,B4
03043584,ACTUALIDADES BIOLOGICAS,B4
22153535,ACTUALIDADES EN PSICOLOGIA,A4
14094703,ACTUALIDADES INVESTIGATIVAS EN EDUCACION,A2
01201700,ACTUALIDADES PEDAGOGICAS,A4
20760825,ACTUATORS,B2
03601293,ACUPUNCTURE ELECTROTHERAPEUTICS RESEARCH,B3
09645284,ACUPUNCTURE IN MEDICINE,A2
