issn,revista,qualis
1697638X,EVIDENTIA,B4
20419139,EVODEVO,A1
00143820,EVOLUTION,A1
19366434,EVOLUTION EDUCATION AND OUTREACH,A1
10905138,EVOLUTION AND HUMAN BEHAVIOR,A1
1520541X,EVOLUTION DEVELOPMENT,A3
20506201,EVOLUTION MEDICINE AND PUBLIC HEALTH,C
10601538,EVOLUTIONARY ANTHROPOLOGY,A1
17524571,EVOLUTIONARY APPLICATIONS,A1
11769343,EVOLUTIONARY BIOINFORMATICS ONLINE,A3
00713260,EVOLUTIONARY BIOLOGY,A3
10636560,EVOLUTIONARY COMPUTATION,A1
15309304,EVOLUTIONARY COMPUTATION,A1
02697653,EVOLUTIONARY ECOLOGY,A3
18645909,EVOLUTIONARY INTELLIGENCE,A2
08745560,EX AEQUO,A4
19839308,EXACTA,B1
16785428,EXACTA,B1
19843151,EXACTA,B4
21780471,EXATAS ONLINE REVISTA CIENTIFICA DO DEPARTAMENTO DE QUIMICA E EXATAS,A3
16112156,EXCLI JOURNAL,A3
10775552,EXERCISE IMMUNOLOGY REVIEW,A1
23143894,EXLIBRIS REVISTA DEL DEPARTAMENTO DE LETRAS,C
2447455X,EXPANSAO ACADEMICA,B4
21796386,EXPEDICOES TEORIA DA HISTORIA E HISTORIOGRAFIA,A4
24471151,EXPERIENCIA REVISTA CIENTIFICA DE EXTENSAO,C
19822413,EXPERIENCIAS EM ENSINO DE CIENCIAS,B2
0361073X,EXPERIMENTAL AGING RESEARCH,A4
00144797,EXPERIMENTAL AGRICULTURE,A3
09477349,EXPERIMENTAL AND CLINICAL ENDOCRINOLOGY DIABETES,B2
13040855,EXPERIMENTAL AND CLINICAL TRANSPLANTATION,B2
00144800,EXPERIMENTAL AND MOLECULAR PATHOLOGY,A2
17920981,EXPERIMENTAL AND THERAPEUTIC MEDICINE,B2
09402993,EXPERIMENTAL AND TOXICOLOGIC PATHOLOGY,A3
01688162,EXPERIMENTAL APPLIED ACAROLOGY,A2
15729702,EXPERIMENTAL APPLIED ACAROLOGY,A2
15353702,EXPERIMENTAL BIOLOGY AND MEDICINE,A4
15353699,EXPERIMENTAL BIOLOGY AND MEDICINE,A4
00144819,EXPERIMENTAL BRAIN RESEARCH,B1
00144827,EXPERIMENTAL CELL RESEARCH,A2
09066705,EXPERIMENTAL DERMATOLOGY,A2
00144835,EXPERIMENTAL EYE RESEARCH,A1
05315565,EXPERIMENTAL GERONTOLOGY,A3
0301472X,EXPERIMENTAL HEMATOLOGY,A3
21623619,EXPERIMENTAL HEMATOLOGY ONCOLOGY,A3
01902148,EXPERIMENTAL LUNG RESEARCH,A4
00144851,EXPERIMENTAL MECHANICS,A2
17412765,EXPERIMENTAL MECHANICS,A2
00144886,EXPERIMENTAL NEUROLOGY,A1
00144894,EXPERIMENTAL PARASITOLOGY,A4
10902449,EXPERIMENTAL PARASITOLOGY,A4
09580670,EXPERIMENTAL PHYSIOLOGY,A4
07328818,EXPERIMENTAL TECHNIQUES,B1
08941777,EXPERIMENTAL THERMAL AND FLUID SCIENCE,A1
14712598,EXPERT OPINION ON BIOLOGICAL THERAPY,A2
17425247,EXPERT OPINION ON DRUG DELIVERY,A1
17460441,EXPERT OPINION ON DRUG DISCOVERY,A1
17425255,EXPERT OPINION ON DRUG METABOLISM TOXICOLOGY,A2
13543784,EXPERT OPINION ON INVESTIGATIONAL DRUGS,A2
21678707,EXPERT OPINION ON ORPHAN DRUGS,B1
14656566,EXPERT OPINION ON PHARMACOTHERAPY,A3
13543776,EXPERT OPINION ON THERAPEUTIC PATENTS,A3
14728222,EXPERT OPINION ON THERAPEUTIC TARGETS,A1
14737140,EXPERT REVIEW OF ANTICANCER THERAPY,A4
14787210,EXPERT REVIEW OF ANTIINFECTIVE THERAPY,A2
14779072,EXPERT REVIEW OF CARDIOVASCULAR THERAPY,A4
1744666X,EXPERT REVIEW OF CLINICAL IMMUNOLOGY,A3
17474086,EXPERT REVIEW OF HEMATOLOGY,A4
14737159,EXPERT REVIEW OF MOLECULAR DIAGNOSTICS,A2
14737175,EXPERT REVIEW OF NEUROTHERAPEUTICS,A2
17448360,EXPERT REVIEW OF NEUROTHERAPEUTICS,A2
17476348,EXPERT REVIEW OF RESPIRATORY MEDICINE,A3
14760584,EXPERT REVIEW OF VACCINES,A2
02664720,EXPERT SYSTEMS,A3
09574174,EXPERT SYSTEMS WITH APPLICATIONS,A1
15508307,EXPLORE,A2
24519685,EXPOSURE AND HEALTH,A1
1788618X,EXPRESS POLYMER LETTERS,A1
14144190,EXPRESSA EXTENSAO,B3
23588195,EXPRESSA EXTENSAO,B3
25388195,EXPRESSA EXTENSAO,B3
15169340,EXPRESSAO,C
15197069,EXPRESSAO,NP
2316400X,REVISTA EXTENSAO EM ACAO,B2
23587180,EXTENSAO EM FOCO,C
19824432,EXTENSAO EM FOCO,C
14157802,EXTENSAO RURAL,B3
23181796,EXTENSAO RURAL,B3
18070221,EXTENSIO,B2
23183640,EXTRAMUROS REVISTA DE EXTENSAO DA UNIVASF,B2
14310651,EXTREMOPHILES,A4
20461402,F1000RESEARCH,A4
15166503,FACEF PESQUISA,B3
19846975,FACES,A3
23583878,FACES DA HISTORIA,A4
23165081,FACIDER REVISTA CIENTIFICA,B2
01729179,FACIES,A2
1451740X,FACTA UNIVERSITATIS SERIES PHYSICAL EDUCATION AND SPORT,C
19004699,FACULDAD DE CIENCIAS BASICAS,C
21771677,FACULDADE CEARENSE EM REVISTA,B4
19803729,REVISTA FAMECOS,A2
13899600,FAMILIAL CANCER,B1
08944865,FAMILY BUSINESS REVIEW,A1
20706987,FAO FISHERIES AND AQUACULTURE REPORT,C
09720960,FAR EAST JOURNAL OF APPLIED MATHEMATICS,NP
09720871,FAR EAST JOURNAL OF MATHEMATICAL SCIENCES FJMS,NP
13596640,FARADAY DISCUSSIONS,A2
13645498,FARADAY DISCUSSIONS,A2
15177858,FAROL,C
23586311,FAROL REVISTA DE ESTUDOS ORGANIZACIONAIS E SOCIEDADE,B2
19808526,FATECNOLOGICA,B4
14602695,FATIGUE FRACTURE OF ENGINEERING MATERIALS AND STRUCTURES,A2
8756758X,FATIGUE FRACTURE OF ENGINEERING MATERIALS STRUCTURES,A2
19831293,FATO VERSOES,B2
16770439,FAZ CIENCIA,B4
00145793,FEBS LETTERS,A2
22115463,FEBS OPEN BIO,A3
00148962,FEDDES REPERTORIUM,B2
01007254,FEMINA,C
15746941,FEMS MICROBIOLOGY ECOLOGY,A3
01686496,FEMS MICROBIOLOGY ECOLOGY,A3
03781097,FEMS MICROBIOLOGY LETTERS,B2
01686445,FEMS MICROBIOLOGY REVIEWS,A1
15671356,FEMS YEAST RESEARCH,A3
15671364,FEMS YEAST RESEARCH,A3
18076971,FENIX REVISTA DE HISTORIA E ESTUDOS CULTURAIS,A3
19822162,FEPAM EM REVISTA,C
1980797X,FEPAM EM REVISTA,C
16886151,FERMENTARIO DEPARTAMENTO DE HISTORIA Y FILOSOFIA DE LA EDUCACION,B4
1981240X,FERRAMENTAL,C
00150193,FERROELECTRICS,B2
00150282,FERTILITY AND STERILITY,A1
01777963,FEWBODY SYSTEMS,B1
14325411,FEWBODY SYSTEMS,B1
1679723X,FFBUSINESS,B4
23586796,FGV DIREITO SP LAW SCHOOL LEGAL STUDIES RESEARCH PAPER SERIES,C
01468030,FIBER AND INTEGRATED OPTICS,B1
12299197,FIBERS AND POLYMERS,A2
15175863,FIDES REFORMATA,B4
03784290,FIELD CROPS RESEARCH,A1
23174625,FIGURA STUDI SULLIMMAGINE NELLA TRADIZIONE CLASSICA,B1
00151386,FILM QUARTERLY,A3
21773912,REVISTA FILME CULTURA,NP
19841159,FILOGENESE,B4
15174530,FILOLOGIA E LINGUISTICA PORTUGUESA,A2
03545180,FILOMAT,B3
18099238,FILOSOFIA,C
19805934,FILOSOFIA AURORA,A2
19849605,FILOSOFIA E EDUCACAO,B1
21786224,FILOSOFIA E HISTORIA DA BIOLOGIA,C
1983053X,FILOSOFIA E HISTORIA DA BIOLOGIA,C
19848234,FILOSOFIA UNISINOS,A2
15195023,FILOSOFIA UNISINOS,A2
15446123,FINANCE RESEARCH LETTERS,A3
21994730,FINANCIAL INNOVATION,B3
22365907,FINEDUCA REVISTA DE FINANCIAMENTO DA EDUCACAO,B1
04305027,FINISTERRA,B4
0168874X,FINITE ELEMENTS IN ANALYSIS AND DESIGN,A1
10715797,FINITE FIELDS AND THEIR APPLICATIONS,A3
03797112,FIRE SAFETY JOURNAL,A2
02635046,FIRST BREAK,B2
13960466,FIRST MONDAY,A4
14672960,FISH AND FISHERIES,A1
09201742,FISH PHYSIOLOGY AND BIOCHEMISTRY,A3
15735168,FISH PHYSIOLOGY AND BIOCHEMISTRY,A3
10504648,FISH SHELLFISH IMMUNOLOGY,A1
03632415,FISHERIES,A2
13652400,FISHERIES MANAGEMENT AND ECOLOGY,A4
0969997X,FISHERIES MANAGEMENT AND ECOLOGY,A4
10546006,FISHERIES OCEANOGRAPHY,A3
01657836,FISHERIES RESEARCH,A3
00900656,FISHERY BULLETIN,A4
15189740,FISIOTERAPIA BRASIL,B4
01035150,FISIOTERAPIA EM MOVIMENTO,B3
19805918,FISIOTERAPIA EM MOVIMENTO,B3
18093469,FISIOTERAPIA SER,C
16765133,FITNESS PERFORMANCE JOURNAL,C
15199088,FITNESS PERFORMANCE JOURNAL,C
0367326X,FITOTERAPIA,A3
08825734,FLAVOUR AND FRAGRANCE JOURNAL,A3
10991026,FLAVOUR AND FRAGRANCE JOURNAL,A3
03672530,FLORA,A3
00153826,FLORESTA,B2
19824688,FLORESTA,B2
14150980,FLORESTA E AMBIENTE,B2
18068863,FLOVET,C
09555986,FLOW MEASUREMENT AND INSTRUMENTATION,A3
13866184,FLOW TURBULENCE AND COMBUSTION,A2
03783812,FLUID PHASE EQUILIBRIA,A2
00154725,FLUORIDE,A3
16615719,FLUSSER STUDIES,B3
19336934,FLY,A3
19336942,FLY,A3
14512092,FME TRANSACTIONS,A4
1981223X,FOCO,B2
10185674,FOLIA AMAZONICA,B4
10105674,FOLIA AMAZONICA,B4
00155497,FOLIA BIOLOGICA,B2
00155500,FOLIA BIOLOGICA,B2
12119520,FOLIA GEOBOTANICA,A3
20835965,FOLIA HORTICULTURAE,B3
00155632,FOLIA MICROBIOLOGICA,B2
00155683,FOLIA PARASITOLOGICA,B1
18036465,FOLIA PARASITOLOGICA,B1
10217762,FOLIA PHONIATRICA ET LOGOPAEDICA,A2
14219972,FOLIA PHONIATRICA ET LOGOPAEDICA,A2
00155713,FOLIA PRIMATOLOGICA,A4
14219980,FOLIA PRIMATOLOGICA,A4
19813422,FOLIO,B2
21764182,FOLIO REVISTA DE LETRAS,A3
01231022,FOLIOS,B4
18080715,FONTE,NP
19440049,FOOD ADDITIVES CONTAMINANTS PART A CHEMISTRY ANALYSIS CONTROL EXPOSURE RISK ASSESSMENT,A2
19393210,FOOD ADDITIVES CONTAMINANTS PART B SURVEILLANCE COMMUNICATIONS,A2
19369751,FOOD ANALYTICAL METHODS,A2
1936976X,FOOD ANALYTICAL METHODS,A2
09540105,FOOD AND AGRICULTURAL IMMUNOLOGY,A2
19355149,FOOD AND BIOPROCESS TECHNOLOGY,A1
19355130,FOOD AND BIOPROCESS TECHNOLOGY,A1
09603085,FOOD AND BIOPRODUCTS PROCESSING,A2
02786915,FOOD AND CHEMICAL TOXICOLOGY,A1
20483694,FOOD AND ENERGY SECURITY,A1
18670334,FOOD AND ENVIRONMENTAL VIROLOGY,A2
03795721,FOOD AND NUTRITION BULLETIN,A2
20598564,FOOD AND NUTRITION REPORT,C
2157944X,FOOD AND NUTRITION SCIENCES,C
21579458,FOOD AND NUTRITION SCIENCES,C
21628440,FOOD AND PUBLIC HEALTH,C
21629412,FOOD AND PUBLIC HEALTH,C
15571858,FOOD BIOPHYSICS,A3
22124292,FOOD BIOSCIENCE,A2
03088146,FOOD CHEMISTRY,A1
09567135,FOOD CONTROL,A1
18667910,FOOD ENGINEERING REVIEWS,A1
20426496,FOOD FUNCTION,A1
0268005X,FOOD HYDROCOLLOIDS,A1
07400020,FOOD MICROBIOLOGY,A1
1654661X,FOOD NUTRITION RESEARCH,C
22142894,FOOD PACKAGING AND SHELF LIFE,A1
03069192,FOOD POLICY,A1
2381182X,FOOD PROCESSING TECHNOLOGY,C
09503293,FOOD QUALITY AND PREFERENCE,A1
09639969,FOOD RESEARCH INTERNATIONAL,A1
87559129,FOOD REVIEWS INTERNATIONAL,A2
12267708,FOOD SCIENCE AND BIOTECHNOLOGY,B2
10820132,FOOD SCIENCE AND TECHNOLOGY INTERNATIONAL,A2
13446606,FOOD SCIENCE AND TECHNOLOGY RESEARCH,C
20487177,FOOD SCIENCE NUTRITION,A4
10961127,FOOD SCIENCE TECHNOLOGY,A1
18764517,FOOD SECURITY,A1
22133291,FOOD STRUCTURE,A2
13309862,FOOD TECHNOLOGY AND BIOTECHNOLOGY,B1
15353141,FOODBORNE PATHOGENS AND DISEASE,A1
15567125,FOODBORNE PATHOGENS AND DISEASE,A1
02280671,FOR THE LEARNING OF MATHEMATICS,A1
14609819,FORCED MIGRATION REVIEW,B3
17438586,FOREIGN POLICY ANALYSIS,A2
24681709,FORENSIC CHEMISTRY,A2
03790738,FORENSIC SCIENCE INTERNATIONAL,A2
18724973,FORENSIC SCIENCE INTERNATIONAL GENETICS,A1
18751768,FORENSIC SCIENCE INTERNATIONAL GENETICS SUPPLEMENT SERIES,B2
18608965,FORENSIC TOXICOLOGY,A1
03781127,FOREST ECOLOGY AND MANAGEMENT,A1
14374781,FOREST PATHOLOGY,A2
13899341,FOREST POLICY AND ECONOMICS,A1
0015749X,FOREST SCIENCE,A2
21715068,FOREST SYSTEMS,A3
0015752X,FORESTRY,A1
19994907,FORESTS,A2
21834709,FORMA BREVE,B1
21787298,FORMACAO,A4
1517543X,FORMACAO,A4
21764360,FORMACAO DOCENTE,B1
07185006,FORMACION UNIVERSITARIA,A4
2318986X,FORMRE REVISTA DO PLANO NACIONAL DE FORMACAO DE PROFESSOES DA EDUCACAO BASICAUFPI,B4
16987799,FORO DE EDUCACION,A3
0185013X,FORO INTERNACIONAL,A2
23186356,FORSCIENCE,B2
00158208,FORTSCHRITTE DER PHYSIK,A3
15182509,FORUM,C
19844107,FORUM ADMINISTRATIVO DIREITO PUBLICO,B4
19800827,FORUM AMBIENTAL DA ALTA PAULISTA,B1
16788656,FORUM DE DIREITO TRIBUTARIO,C
16766962,FORUM DE DIREITO URBANO E AMBIENTAL,C
19844166,FORUM DE DIREITO URBANO E AMBIENTAL,C
19847556,FORUM DE LITERATURA BRASILEIRA CONTEMPORANEA,B1
08039410,FORUM FOR DEVELOPMENT STUDIES,A2
18605605,FORUM HISTORIAE IURIS ERSTE EUROPAISCHE INTERNETZEITSCHRIFT FUR RECHTSGESCHICHTE,A2
19848412,FORUM LINGUISTICO,A2
08728380,FORUM SOCIOLOGICO,B4
18025439,FOTTEA,A3
18054927,FOTTEA,A3
00159018,FOUNDATIONS OF PHYSICS,A4
12331821,FOUNDATIONS OF SCIENCE,A1
2183511X,FPDD DESPORTO E ATIVIDADE FISICA PARA TODOS,C
19840292,FRACTAL REVISTA DE PSICOLOGIA,A2
0218348X,FRACTALS,A3
19837828,FRAGMENTOS DE CULTURA,B1
14149494,FRAGMENTOS DE CULTURA,B1
01201468,FRANCISCANUM REVISTA DE LA CIENCIA DEL ESPIRITU,B1
19718993,FRATTURA E INTEGRITA STRUTTURALE,B1
08915849,FREE RADICAL BIOLOGY MEDICINE,A1
10292470,FREE RADICAL RESEARCH,A3
10715762,FREE RADICAL RESEARCH,A3
22312536,FREE RADICALS AND ANTIOXIDANTS,C
22644733,FRENCH JOURNAL FOR MEDIA RESEARCH,B1
10184619,FRESENIUS ENVIRONMENTAL BULLETIN,B2
00465070,FRESHWATER BIOLOGY,A1
21619565,FRESHWATER SCIENCE,A1
22237690,FRICTION,A3
07184018,FRO,A4
10260269,FROGLOG,C
16795377,FRONTEIRA,B4
15179265,FRONTEIRAS,A3
14158701,FRONTEIRAS,B2
24468215,FRONTEIRAS E DEBATES,B1
22388869,FRONTEIRAS JOURNAL OF SOCIAL TECHNOLOGICAL AND ENVIRONMENTAL SCIENCE,B1
19834373,FRONTEIRAZ,A4
01609009,FRONTIERS,B2
16634365,FRONTIERS IN AGING NEUROSCIENCE,A1
16625153,FRONTIERS IN BEHAVIORAL NEUROSCIENCE,A1
22964185,FRONTIERS IN BIOENGINEERING AND BIOTECHNOLOGY,A1
10939946,FRONTIERS IN BIOSCIENCE,A3
19450516,FRONTIERS IN BIOSCIENCE SCHOLAR,A1
19450508,FRONTIERS IN BIOSCIENCEELITE,A4
2296634X,FRONTIERS IN CELL AND DEVELOPMENTAL BIOLOGY,A3
22352988,FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY,A1
16625102,FRONTIERS IN CELLULAR NEUROSCIENCE,A1
22962646,FRONTIERS IN CHEMISTRY,A2
16625188,FRONTIERS IN COMPUTATIONAL NEUROSCIENCE,A3
22966463,FRONTIERS IN EARTH SCIENCE,A2
2296701X,FRONTIERS IN ECOLOGY AND EVOLUTION,A2
15409295,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,A1
16642392,FRONTIERS IN ENDOCRINOLOGY,A1
2296665X,FRONTIERS IN ENVIRONMENTAL SCIENCE,A1
16648021,FRONTIERS IN GENETICS,A2
16625161,FRONTIERS IN HUMAN NEUROSCIENCE,A2
16643224,FRONTIERS IN IMMUNOLOGY,A1
16625145,FRONTIERS IN INTEGRATIVE NEUROSCIENCE,A2
22967745,FRONTIERS IN MARINE SCIENCE,A2
2296858X,FRONTIERS IN MEDICINE,C
1664302X,FRONTIERS IN MICROBIOLOGY,A1
2296889X,FRONTIERS IN MOLECULAR BIOSCIENCES,A3
16625099,FRONTIERS IN MOLECULAR NEUROSCIENCE,A1
16625110,FRONTIERS IN NEURAL CIRCUITS,A1
16625129,FRONTIERS IN NEUROANATOMY,A1
16642295,FRONTIERS IN NEUROLOGY,A2
1662453X,FRONTIERS IN NEUROSCIENCE,A2
16624548,FRONTIERS IN NEUROSCIENCE,A2
2296861X,FRONTIERS IN NUTRITION,C
2234943X,FRONTIERS IN ONCOLOGY,A2
22962360,FRONTIERS IN PEDIATRICS,A3
16639812,FRONTIERS IN PHARMACOLOGY,A1
04297725,FRONTIERS IN PHYSICS,C
1664042X,FRONTIERS IN PHYSIOLOGY,A2
1664462X,FRONTIERS IN PLANT SCIENCE,A1
16640640,FRONTIERS IN PSYCHIATRY,A3
16641078,FRONTIERS IN PSYCHOLOGY,A1
22962565,FRONTIERS IN PUBLIC HEALTH,A3
16625137,FRONTIERS IN SYSTEMS NEUROSCIENCE,A1
17429994,FRONTIERS IN ZOOLOGY,A1
19486596,FRONTIERS OF BIOGEOGRAPHY,A4
20950179,FRONTIERS OF CHEMICAL SCIENCE AND ENGINEERING,A2
20959230,FRONTIERS OF INFORMATION TECHNOLOGY ELECTRONIC ENGINEERING,A4
20950233,FRONTIERS OF MECHANICAL ENGINEERING,A4
20950241,FRONTIERS OF MECHANICAL ENGINEERING,A4
09394435,FRUIT PROCESSING,NP
02481294,FRUITS,A4
00162361,FUEL,A1
16156846,FUEL CELLS,A3
03783820,FUEL PROCESSING TECHNOLOGY,A1
24779202,FUERA DE CAMPO REVISTA DE CINE,NP
21757437,FULL DENTISTRY IN SCIENCE,B4
1536383X,FULLERENES NANOTUBES AND CARBON NANOSTRUCTURES,A4
0104351X,FUMDHAMENTOS,B3
1821410X,FUNCTIONAL ANALYSIS APPROXIMATION AND COMPUTATION,B4
02698463,FUNCTIONAL ECOLOGY,A1
1438793X,FUNCTIONAL INTEGRATIVE GENOMICS,A2
03935264,FUNCTIONAL NEUROLOGY,B1
14454408,FUNCTIONAL PLANT BIOLOGY,A2
01692968,FUNDAMENTA INFORMATICAE,A2
07673981,FUNDAMENTAL CLINICAL PHARMACOLOGY,A4
14728206,FUNDAMENTAL CLINICAL PHARMACOLOGY,A4
18786146,FUNGAL BIOLOGY,A3
17494613,FUNGAL BIOLOGY REVIEWS,A2
15602745,FUNGAL DIVERSITY,A1
17545048,FUNGAL ECOLOGY,A1
18780083,FUNGAL ECOLOGY,A1
10871845,FUNGAL GENETICS AND BIOLOGY,A2
21658056,FUNGAL GENOMICS AND BIOLOGY,B2
09203796,FUSION ENGINEERING AND DESIGN,A2
0167739X,FUTURE GENERATION COMPUTER SYSTEMS,A1
17568919,FUTURE MEDICINAL CHEMISTRY,A1
17460921,FUTURE MICROBIOLOGY,A3
17460913,FUTURE MICROBIOLOGY,A3
14796694,FUTURE ONCOLOGY,B1
21755825,FUTURE STUDIES RESEARCH JOURNAL,A4
17460794,FUTURE VIROLOGY,B3
00163287,FUTURES,A1
01650114,FUZZY SETS AND SYSTEMS,A1
21601836,G3 GENES GENOMES GENETICS,A3
02139111,GACETA SANITARIA,A4
19811268,GAIA SCIENTIA,A4
09666362,GAIT POSTURE,A1
1519311X,GALAXIA,A2
19822553,GALAXIA,A2
20754434,GALAXIES OPEN ACCESS COSMOLOGY ASTRONOMY ASTROPHYSICS JOURNAL,C
08998256,GAMES AND ECONOMIC BEHAVIOR,A1
21617856,GAMES FOR HEALTH RESEARCH DEVELOPMENT AND CLINICAL APPLICATIONS,A2
00165085,GASTROENTEROLOGY,A1
16876121,GASTROENTEROLOGY RESEARCH AND PRACTICE,B1
10976779,GASTROINTESTINAL ENDOSCOPY,A1
23580666,GAVAGAI REVISTA INTERDISCIPLINAR DE HUMANIDADES,C
00165301,GAYANA BOTANICA,B2
03933660,GAZZETTA MEDICA ITALIANA ARCHIVIO PER LE SCIENZE MEDICHE,B2
18271812,GAZZETTA MEDICA ITALIANA ARCHIVIO PER LE SCIENZE MEDICHE,B2
01017772,GED GASTROENTEROLOGIA E ENDOSCOPIA DIGESTIVA,B4
23102861,GELS,A2
21791465,REVISTA GEMINIS,A4
12130028,GENDER ROVNE PRILEZITOSTI VYZKUM,B1
03781119,GENE,A4
1567133X,GENE EXPRESSION PATTERNS,B2
24520144,GENE REPORTS,B4
10956840,GENERAL AND COMPARATIVE ENDOCRINOLOGY,A2
00166480,GENERAL AND COMPARATIVE ENDOCRINOLOGY,A2
03636771,GENERAL DENTISTRY,B2
01638343,GENERAL HOSPITAL PSYCHIATRY,A2
23275146,GENERAL MEDICINE,C
00017701,GENERAL RELATIVITY AND GRAVITATION,A4
15179699,GENERO,A4
23161108,REVISTA GENERO,A4
22388184,GENERO NA AMAZONIA,B2
22388114,GENERO NA AMAZONIA,B2
20734425,GENES,A2
14664879,GENES AND IMMUNITY,A4
10452257,GENES CHROMOSOMES CANCER,A2
15558932,GENES NUTRITION A JOURNAL DEVOTED TO STUDY OF RELATIONSHIP BETWEEN GENETICS NUTRITION FOR IMPROVEMENT OF HUMAN HEALTH,B1
1526954X,GENESIS,A3
07410395,GENETIC EPIDEMIOLOGY,A3
13892576,GENETIC PROGRAMMING AND EVOLVABLE MACHINES,A3
09259864,GENETIC RESOURCES AND CROP EVOLUTION,A3
19450265,GENETIC TESTING AND MOLECULAR BIOMARKERS,B3
19450257,GENETIC TESTING AND MOLECULAR BIOMARKERS,B3
00166707,GENETICA,A3
15736857,GENETICA,A3
19803540,GENETICA NA ESCOLA,B3
19432631,GENETICS,A2
00166731,GENETICS,A2
14154757,GENETICS AND MOLECULAR BIOLOGY,A4
16784685,GENETICS AND MOLECULAR BIOLOGY,A4
16765680,GENETICS AND MOLECULAR RESEARCH,B3
10983600,GENETICS IN MEDICINE,A1
12979686,GENETICS SELECTION EVOLUTION,A1
23849495,GENIUS RIVISTA DI STUDI GIURIDICI SULLORIENTAMENTO SESSUALE E LIDENTITA DI GENERE,B2
08312796,GENOME,B1
14803321,GENOME,B1
21698287,GENOME ANNOUNCEMENTS,B3
17596653,GENOME BIOLOGY AND EVOLUTION,A1
14747596,GENOME BIOLOGY BIOLOGY FOR THE POSTGENOMIC ERA,A1
1756994X,GENOME MEDICINE,A1
10889051,GENOME RESEARCH,A1
08887543,GENOMICS,A3
10898646,GENOMICS,A3
22135960,GENOMICS DATA,B1
19819021,GEO UERJ,A2
14157543,GEO UERJ,A2
16799860,GEOAMBIENTE ONLINE,B2
08836353,GEOARCHAEOLOGY,A1
14724677,GEOBIOLOGY,A1
00166995,GEOBIOS,A4
10106049,GEOCARTO INTERNATIONAL,B2
15252027,GEOCHEMISTRY GEOPHYSICS GEOSYSTEMS,A2
01029800,GEOCHIMICA BRASILIENSIS,B4
00167037,GEOCHIMICA ET COSMOCHIMICA ACTA,A1
1980900X,GEOCIENCIAS,B2
01019082,GEOCIENCIAS,B2
00167061,GEODERMA,A1
23520094,GEODERMA REGIONAL,A3
00167169,GEOFISICA INTERNACIONAL,B1
15785157,GEOFOCUS,C
24479195,GEOFRONTER,B1
15182002,GEOGRAFARES REVISTA DO MESTRADO E DO DEPARTAMENTO DE GEOGRAFIA CENTRO DE CIENCIAS HUMANAS E NATURAIS,A4
01023888,GEOGRAFIA,A4
19838700,GEOGRAFIA,B3
01007912,GEOGRAFIA,B3
24471747,GEOGRAFIA,B3
18068553,GEOGRAFIA E PESQUISA,B3
19841647,GEOGRAFIA EM ATOS,B2
15198367,GEOGRAFIA EM ATOS,B2
21780234,GEOGRAFIA EM QUESTAO,B2
19828942,GEOGRAFIA EM QUESTAO,B2
01031538,GEOGRAFIA ENSINO PESQUISA,A3
22364994,GEOGRAFIA ENSINO PESQUISA,A3
18528031,GEOGRAFIA Y SISTEMAS DE INFORMACION GEOGRAFICA,A3
2237549X,GEOGRAFIAS,B4
18088058,GEOGRAFIAS,B4
22380205,REVISTA GEOGRAFICIDADE UNIVERSIDADE FEDERAL FLUMINENSE,B1
15177793,GEOGRAPHIA,B1
24469165,GEOGRAPHIA MERIDIONALIS,C
23581972,GEOGRAPHIA OPPORTUNO TEMPORE,C
00167363,GEOGRAPHICAL ANALYSIS,A2
21731276,GEOGRAPHOS,C
18672477,GEOHERITAGE,A2
13846175,GEOINFORMATICA,A1
15737624,GEOINFORMATICA,A1
2175862X,GEOINGA REVISTA DO PROGRAMA DE POSGRADUACAO EM GEOGRAFIA,B2
03432521,GEOJOURNAL,A2
07619081,GEOLINGUISTIQUE,B1
1519874X,GEOLOGIA USP SERIE CIENTIFICA,B2
00721050,GEOLOGICAL JOURNAL,A2
00167606,GEOLOGICAL SOCIETY OF AMERICA BULLETIN,A1
03058719,GEOLOGICAL SOCIETY SPECIAL PUBLICATION,A2
00917613,GEOLOGY,A1
02760460,GEOMARINE LETTERS,A2
21617538,GEOMATERIALS,B4
01490451,GEOMICROBIOLOGY JOURNAL,B1
0169555X,GEOMORPHOLOGY,A1
01044486,GEONOMOS,B4
15186059,GEONORDESTE,A4
22371419,GEONORTE,B1
0956540X,GEOPHYSICAL JOURNAL INTERNATIONAL,A2
00168025,GEOPHYSICAL PROSPECTING,A3
10297006,GEOPHYSICAL RESEARCH ABSTRACTS,C
00948276,GEOPHYSICAL RESEARCH LETTERS,A1
00168033,GEOPHYSICS,A2
21723958,GEOPOLITICA REVISTA DE ESTUDIOS SOBRE ESPACIO Y PODER,A3
21780463,GEOSABERES REVISTA DE ESTUDOS GEOEDUCACIONAIS,A1
19919603,GEOSCIENTIFIC MODEL DEVELOPMENT,A1
1991962X,GEOSCIENTIFIC MODEL DEVELOPMENT DISCUSSIONS,C
18271987,GEOSPATIAL HEALTH,A3
10095020,GEOSPATIAL INFORMATION SCIENCE,A3
16394488,GEOSTANDARDS AND GEOANALYTICAL RESEARCH,A1
21775230,GEOSUL,A2
01033964,GEOSUL,A2
17517613,GEOSYNTHETICS INTERNATIONAL,A3
10726349,GEOSYNTHETICS INTERNATIONAL,A3
